stop_id,stop_name,stop_lat,stop_lon
11085,Boren Ave & Madison St,47.6089554,-122.324913
11087,Boren Ave & Columbia St,47.6075935,-122.323669
11090,E Pine St & Belmont Ave,47.6152878,-122.325127
1110,Pine St & 5th Ave,47.6117668,-122.336456
11100,E Pine St & Bellevue Ave,47.6152992,-122.327271
11130,Pike St & Convention Pl,47.6123695,-122.33136
11132,Pike St & Boren Ave,47.6135788,-122.328445
11140,E Pine St & Summit Ave,47.6151581,-122.324638
11150,E Pine St & Harvard Ave,47.6151619,-122.321617
11175,Broadway & E Howell St,47.6181564,-122.320747
11180,Broadway  E & E John St,47.6201553,-122.320786
11190,Broadway  E & E Harrison St,47.6221962,-122.320816
11191,10th Ave E & E Mercer St,47.623951,-122.319992
1120,Pine St & 4th Ave,47.6111031,-122.338028
11200,Broadway  E & E Mercer St,47.6246109,-122.320839
11230,10th Ave E & E Prospect St,47.6288605,-122.320114
11250,10th Ave E & E Galer St,47.6322136,-122.320099
11270,10th Ave E & E Howe St,47.6361618,-122.319992
11290,10th Ave E & E Miller St,47.641571,-122.319969
11299,E Roanoke St & 10th Ave E,47.6431274,-122.319298
11300,E Roanoke St & Broadway  E,47.643261,-122.320747
11330,Harvard Ave E & E Shelby St,47.647171,-122.321999
11352,15th Ave NE & NE 42nd St,47.6586685,-122.311905
11356,NE 45th St & 17th Ave NE,47.6613274,-122.31012
11357,NE 45th St & 20th Ave NE,47.6613274,-122.306923
11358,U District Station - Bay 2,47.6613388,-122.313614
11370,15th Ave E & E Galer St,47.6324997,-122.312607
11390,15th Ave E & E Prospect St,47.628479,-122.312668
11400,15th Ave E & E Aloha St,47.6266823,-122.312668
11410,15th Ave E & E Roy St,47.6250267,-122.312698
11430,15th Ave E & E Republican St,47.6228943,-122.312737
11480,E Pine St & 15th Ave,47.6153564,-122.313255
11490,E Pine St & 13th Ave,47.615345,-122.31591
11520,E Pine St & 12th Ave,47.6152,-122.316483
11535,E Pine St & 15th Ave,47.6152115,-122.311852
11570,15th Ave E & E Harrison St,47.6226654,-122.312538
11590,15th Ave E & E Roy St,47.6254234,-122.312492
11600,15th Ave E & E Aloha St,47.6270981,-122.312469
11610,15th Ave E & E Prospect St,47.6289024,-122.312454
11620,15th Ave E & E Highland Dr,47.6308327,-122.312424
11630,Grandview Pl E & E Galer St,47.6325226,-122.311821
11640,Grandview Pl E & E Garfield St,47.634079,-122.311798
11680,Mount Rainier Dr S & S Hanford St,47.5756569,-122.284843
11690,Mount Rainier Dr S & S Ridgeway Pl,47.5765381,-122.28624
11700,S Mcclellan St & Lake Park Dr S,47.5784073,-122.288605
11720,S Mcclellan St & 31st Ave S,47.5784111,-122.292671
11730,31st Ave S & S Lander St,47.5798607,-122.292908
11750,31st Ave S & S College St,47.5827065,-122.292892
11770,31st Ave S & S Plum St,47.5850983,-122.292908
11790,31st Ave S & S Massachusetts St,47.5881615,-122.292442
1180,Pike St & 4th Ave,47.6100731,-122.336838
11800,31st Ave S & S Day St,47.5905342,-122.292305
11820,31st Ave S & S Norman St,47.5935059,-122.292656
11840,31st Ave S & S Dearborn St,47.5959206,-122.292603
11860,31st Ave S & S King St,47.597908,-122.292519
11870,S Jackson St & 30th Ave S,47.5992508,-122.29364
11880,S Jackson St & 28th Ave S,47.5992851,-122.296112
11890,S Jackson St & Martin L King Jr Way S,47.5993042,-122.297752
1190,Pike St & 6th Ave,47.6110344,-122.334526
11910,S Jackson St & 23rd Ave S,47.5993462,-122.302032
11920,S Jackson St & 20th Pl S,47.5993347,-122.304642
11940,S Jackson St & 18th Ave S,47.5993042,-122.309349
1195,Pike St & 7th Ave,47.6118088,-122.332687
11960,S Jackson St & Rainier Ave S,47.5991402,-122.313576
11980,S Jackson St & 18th Ave S,47.5991669,-122.309738
11990,S Jackson St & 20th Ave S,47.5991898,-122.305992
12010,S Jackson St & 23rd Ave S,47.5992203,-122.30143
12030,S Jackson St & 28th Ave S,47.5991478,-122.295952
12040,S Jackson St & 30th Ave S,47.5991173,-122.29393
12050,31st Ave S & S King St,47.597744,-122.29274
12070,31st Ave S & S Dearborn St,47.5955124,-122.292809
12080,31st Ave S & S Norman St,47.5930748,-122.292877
12090,31st Ave S & S Irving St,47.5909729,-122.292496
12110,31st Ave S & S Massachusetts St,47.5878716,-122.292648
12130,31st Ave S & S Plum St,47.5849571,-122.293098
12140,31st Ave S & S Walker St,47.5834236,-122.293106
1215,Union St & 5th Ave,47.6098289,-122.334511
12160,31st Ave S & S Lander St,47.579422,-122.293098
12170,S Mcclellan St & 31st Ave S,47.5782738,-122.292587
12190,S Mcclellan St & S Mount Baker Blvd,47.5782738,-122.288712
12200,Mount Rainier Dr S & 37th Pl S,47.5767555,-122.286827
12210,E Mcgilvra St & 42nd Ave E,47.6407738,-122.278122
12220,42nd Ave E & E Lynn St,47.6388626,-122.278534
12230,42nd Ave E & E Newton St,47.6367264,-122.278564
12240,42nd Ave E & E Madison St,47.6356049,-122.278572
12250,E Madison St & 41st Ave E,47.6347008,-122.279778
12260,E Madison St & E Garfield St,47.6335716,-122.281433
12270,E Madison St & 38th Ave E,47.6319466,-122.283836
12280,E Madison St & 36th Ave E,47.6302643,-122.286324
12290,E Madison St & 34th Ave E,47.6289024,-122.288345
1230,Union St & 4th Ave,47.6090813,-122.336288
12310,E Madison St & Lake Washington Blvd,47.6259193,-122.292725
12322,E Madison St & 28th Ave E,47.6231651,-122.296799
12340,E Madison St & 25th Ave E,47.6208687,-122.300186
12350,E Madison St & 23rd Ave E,47.6192856,-122.302536
12351,E Madison St & 22nd Ave E,47.617939,-122.304718
12352,E Madison St & 20th Ave,47.6173515,-122.306114
12353,E Madison St & 19th Ave,47.6166191,-122.307877
12354,E Madison St & 17th Ave,47.6155205,-122.310516
12355,E Madison St & 15th Ave,47.6143608,-122.313301
12371,E Madison St & 15th Ave,47.6146393,-122.312233
12372,E Madison St & 17th Ave,47.6154594,-122.310265
12373,E Madison St & 18th Ave,47.6161728,-122.308563
12375,E Madison St & 20th Ave,47.617363,-122.305702
12376,E Madison St & 22nd Ave,47.6182289,-122.303802
12377,E Madison St & 23rd Ave E,47.6192589,-122.302277
12378,E Madison St & 25th Ave E,47.6210938,-122.299561
12380,E Madison St & 27th Ave E,47.6224899,-122.297508
12390,E Madison St & 29th Ave E,47.6240654,-122.295189
12400,E Madison St & Lake Washington Blvd,47.626152,-122.292099
12410,E Madison St & 33rd Ave E,47.6281853,-122.289093
12420,E Madison St & 36th Ave E,47.62994,-122.286514
12430,E Madison St & 38th Ave E,47.631443,-122.284302
12440,E Madison St & 39th Ave E,47.6324272,-122.282822
12450,E Madison St & 41st Ave E,47.6343307,-122.280022
12460,43rd Ave E & E Blaine St,47.6348839,-122.277046
12470,43rd Ave E & E Madison St,47.636631,-122.277016
12480,43rd Ave E & E Lynn St,47.6390877,-122.276993
12481,Martin L King Jr Way S & S Judkins St,47.59161,-122.297646
12484,Martin L King Jr Way S & S Hill St,47.584259,-122.298248
12485,S Walker St & 25th Ave S,47.5837135,-122.299629
12486,Martin L King Jr Way S & S Bayview St,47.5810013,-122.296921
12487,Martin L King Jr Way S & S Massachusetts St,47.5879974,-122.298195
12496,S Plum St & 25th Ave S,47.5854111,-122.300079
12497,Martin L King Jr Way S & S Massachusetts St,47.5886765,-122.297852
1250,Seneca St & 4th Ave,47.6074219,-122.33461
12500,26th Ave S & S Norman St,47.5931625,-122.298958
12520,S Dearborn St & 26th Ave S,47.5956268,-122.299423
12532,23rd Ave S & S Lane St,47.5967102,-122.302124
12550,23rd Ave S & S Jackson St,47.5996971,-122.302124
12560,23rd Ave & E Yesler Way,47.6018944,-122.302299
1260,Seneca St & 6th Ave,47.6087418,-122.331482
12600,23rd Ave & E Jefferson St,47.6058998,-122.302887
12630,23rd Ave S & E Yesler Way,47.6012573,-122.302361
12640,23rd Ave S & S Jackson St,47.5989761,-122.302315
12660,S Dearborn St & 24th Ave S,47.5955009,-122.301636
12670,24th Ave S & S Norman St,47.5927429,-122.301292
12690,34th Ave & E Union St,47.6125031,-122.289421
1270,Spring St & 4th Ave,47.6068764,-122.333206
12700,34th Ave & E Marion St,47.6105156,-122.289474
12712,34th Ave & E Cherry St,47.6081123,-122.28952
12720,E Cherry St & 32nd Ave,47.6080322,-122.292
12740,E Cherry St & Martin L King Jr Way,47.6080627,-122.296158
12760,E Cherry St & 24th Ave,47.6080704,-122.300499
12770,23rd Ave & E Cherry St,47.6077118,-122.302879
12780,E Jefferson St & 23rd Ave,47.6062393,-122.303215
12790,E Jefferson St & 21st Ave,47.6062355,-122.305351
1280,Spring St & 6th Ave,47.6078453,-122.330856
12805,E Jefferson St & 18th Ave,47.6062508,-122.309669
12820,E Jefferson St & 15th Ave,47.606266,-122.313126
12840,E Jefferson St & 12th Ave,47.606266,-122.317108
12841,12th Ave & E Alder St,47.6045799,-122.316879
12842,12th Ave & E Terrace St,47.6050415,-122.316689
12860,Jefferson St & Broadway,47.6061554,-122.321167
12880,Jefferson St & 9th Ave,47.6049347,-122.324089
12890,James St & 8th Ave,47.6051865,-122.325813
12900,James St & 8th Ave,47.6051636,-122.3255
12910,9th Ave & Jefferson St,47.6048737,-122.324242
12930,E Jefferson St & Broadway,47.606144,-122.320229
12950,E Jefferson St & 12th Ave,47.6061249,-122.316376
12960,E Jefferson St & 14th Ave,47.6061249,-122.31356
12980,E Jefferson St & 17th Ave,47.6061096,-122.309929
12991,E Jefferson St & 20th Ave,47.6060982,-122.305962
1300,Madison St & 8th Ave,47.6080284,-122.328079
13005,21st Ave & E James St,47.607399,-122.304924
13020,E Cherry St & 23rd Ave,47.6079369,-122.30233
13030,E Cherry St & 25th Ave,47.6079369,-122.299774
13040,E Cherry St & Martin L King Jr Way,47.6079292,-122.296364
13060,E Cherry St & 31st Ave,47.6079063,-122.292305
13070,E Cherry St & 33rd Ave,47.6078835,-122.290253
13080,34th Ave & E Columbia St,47.6094742,-122.289299
13090,E Spring St & 34th Ave,47.6117134,-122.29023
